iter	Passed	Remaining
0	67	66993
1	67	33891
2	68	22829
3	69	17276
4	70	14004
5	71	11776
6	71	10170
7	72	8960
8	74	8204
9	75	7448
10	75	6820
11	76	6296
12	77	5853
13	78	5504
14	78	5170
15	79	4875
16	80	4627
17	80	4397
18	81	4233
19	82	4043
20	84	3960
21	85	3814
22	86	3670
23	86	3530
24	87	3402
25	87	3282
26	88	3172
27	88	3068
28	88	2973
29	89	2883
30	89	2799
31	89	2720
32	96	2837
33	97	2781
34	98	2716
35	99	2655
36	99	2596
37	100	2540
38	101	2491
39	101	2437
40	101	2385
41	102	2335
42	103	2293
43	103	2251
44	104	2209
45	104	2167
46	104	2128
47	105	2092
48	105	2056
49	106	2023
50	107	2001
51	108	1969
52	108	1937
53	108	1907
54	109	1881
55	110	1862
56	111	1837
57	113	1843
58	114	1819
59	114	1794
60	114	1769
61	115	1745
62	115	1722
63	116	1699
64	116	1677
65	117	1657
66	117	1635
67	117	1612
68	118	1593
69	118	1574
70	118	1555
71	119	1537
72	119	1519
73	120	1502
74	120	1485
75	120	1470
76	121	1456
77	121	1441
78	122	1427
79	122	1413
80	123	1399
81	123	1386
82	124	1378
83	125	1366
84	125	1351
85	126	1340
86	126	1326
87	127	1322
88	128	1316
89	129	1304
90	129	1292
91	129	1281
92	130	1271
93	130	1260
94	131	1249
95	131	1239
96	131	1228
97	132	1218
98	132	1208
99	133	1198
100	133	1188
101	133	1177
102	134	1168
103	134	1159
104	134	1150
105	135	1141
106	135	1132
107	136	1123
108	136	1115
109	136	1107
110	137	1099
111	137	1092
112	138	1084
113	138	1076
114	138	1069
115	139	1061
116	139	1053
117	139	1046
118	140	1038
119	140	1031
120	141	1024
121	141	1017
122	141	1009
123	142	1003
124	142	997
125	142	990
126	143	984
127	143	977
128	143	971
129	144	966
130	144	960
131	145	954
132	145	949
133	146	943
134	146	938
135	146	932
136	147	927
137	147	921
138	147	916
139	148	911
140	148	906
141	149	901
142	149	896
143	149	891
144	150	886
145	150	881
146	151	876
147	151	871
148	151	867
149	152	862
150	152	858
151	153	853
152	153	849
153	153	845
154	154	841
155	154	836
156	155	832
157	155	828
158	155	824
159	156	820
160	156	817
161	157	813
162	157	809
163	158	806
164	158	802
165	158	798
166	159	795
167	159	791
168	160	787
169	160	783
170	161	780
171	161	777
172	161	773
173	162	770
174	162	766
175	163	763
176	163	760
177	163	757
178	164	754
179	164	750
180	165	746
181	165	743
182	165	740
183	166	737
184	166	734
185	167	731
186	167	728
187	167	725
188	168	722
189	168	718
190	169	715
191	169	713
192	169	710
193	170	707
194	170	704
195	170	701
196	171	698
197	171	695
198	172	693
199	172	690
200	173	687
201	173	685
202	173	682
203	174	680
204	174	677
205	175	674
206	175	672
207	175	669
208	176	667
209	176	664
210	177	662
211	177	659
212	177	657
213	178	654
214	178	652
215	179	649
216	179	647
217	179	644
218	180	642
219	180	640
220	180	637
221	181	635
222	181	633
223	182	631
224	182	628
225	182	626
226	183	624
227	183	621
228	184	619
229	184	617
230	184	615
231	185	613
232	185	611
233	186	609
234	186	607
235	186	605
236	187	603
237	187	601
238	188	599
239	188	597
240	189	595
241	189	593
242	189	591
243	190	589
244	190	587
245	190	585
246	191	583
247	191	581
248	192	579
249	192	577
250	192	575
251	193	573
252	193	571
253	194	570
254	194	568
255	194	566
256	195	564
257	195	562
258	196	561
259	196	559
260	196	557
261	197	555
262	197	554
263	198	552
264	198	550
265	199	549
266	199	547
267	199	545
268	200	544
269	200	542
270	200	540
271	201	538
272	201	537
273	202	536
274	202	534
275	203	532
276	203	531
277	203	529
278	204	528
279	204	526
280	205	524
281	205	523
282	205	521
283	206	520
284	206	518
285	207	517
286	207	515
287	207	513
288	208	512
289	208	510
290	209	509
291	209	508
292	210	507
293	210	505
294	210	504
295	211	502
296	211	501
297	212	499
298	212	498
299	213	497
300	213	495
301	213	494
302	214	492
303	214	491
304	215	489
305	215	488
306	215	487
307	216	485
308	216	484
309	217	483
310	217	481
311	217	480
312	218	479
313	218	477
314	219	476
315	219	474
316	219	473
317	220	472
318	220	471
319	221	469
320	221	468
321	221	467
322	222	465
323	222	464
324	223	463
325	223	461
326	223	460
327	224	459
328	224	458
329	225	456
330	225	455
331	225	454
332	226	453
333	226	452
334	227	450
335	227	449
336	227	448
337	228	447
338	228	445
339	229	444
340	229	443
341	229	442
342	230	441
343	230	439
344	231	438
345	231	437
346	231	436
347	232	435
348	232	433
349	232	432
350	233	431
351	233	430
352	234	429
