iter	Passed	Remaining
0	47	47848
1	48	24173
2	48	16254
3	49	12276
4	49	9947
5	50	8394
6	51	7248
7	51	6393
8	51	5718
9	52	5180
10	52	4741
11	53	4377
12	53	4066
13	53	3800
14	54	3571
15	54	3368
16	55	3191
17	55	3031
18	55	2890
19	56	2762
20	56	2645
21	57	2540
22	57	2444
23	57	2355
24	58	2273
25	58	2197
26	59	2133
27	59	2068
28	59	2007
29	60	1951
30	60	1898
31	61	1850
32	61	1803
33	61	1759
34	62	1717
35	62	1678
36	63	1642
37	63	1611
38	63	1576
39	64	1543
40	64	1514
41	65	1485
42	65	1458
43	65	1432
44	66	1407
45	66	1383
46	67	1359
47	67	1337
48	67	1316
49	68	1296
50	68	1276
51	69	1258
52	69	1239
53	69	1221
54	70	1207
55	70	1190
56	71	1174
57	71	1159
58	71	1145
59	72	1132
60	72	1118
61	73	1105
62	73	1092
63	73	1080
64	74	1068
65	74	1057
66	75	1046
67	75	1035
68	75	1024
69	76	1013
70	76	1003
71	77	993
72	77	983
73	77	974
74	78	965
75	78	956
76	79	947
77	79	939
78	79	930
79	80	922
80	80	914
81	81	906
82	81	897
83	81	889
84	81	882
85	82	875
86	82	868
87	83	861
88	83	854
89	83	848
90	84	841
91	84	835
92	85	829
93	85	823
94	85	818
95	86	812
96	86	806
97	87	801
98	87	795
99	87	790
100	88	785
101	88	780
102	88	774
103	89	769
104	89	765
105	90	760
106	90	755
107	91	752
108	91	747
109	91	742
110	92	738
111	92	734
112	93	730
113	93	726
114	93	722
115	94	718
116	94	713
117	95	710
118	95	706
119	95	702
120	96	698
121	96	694
122	96	690
123	97	687
124	97	683
125	98	680
126	98	676
127	98	672
128	99	669
129	99	666
130	100	663
131	100	660
132	100	656
133	101	653
134	101	650
135	101	647
136	102	644
137	102	641
138	103	638
139	103	635
140	103	632
141	104	628
142	104	625
143	104	623
144	105	620
145	105	618
146	106	615
147	106	612
148	106	610
149	107	607
150	108	608
151	108	605
152	108	603
153	109	600
154	109	598
155	110	595
156	110	593
157	110	591
158	111	588
159	111	586
160	111	583
161	112	581
162	112	578
163	113	576
164	113	574
165	113	572
166	114	570
167	114	567
168	115	565
169	115	563
170	115	561
171	116	559
172	116	557
173	116	555
174	117	553
175	117	551
176	118	549
177	118	547
178	119	545
179	119	544
180	119	542
181	120	540
182	120	538
183	121	537
184	121	535
185	121	533
186	122	531
187	122	530
188	123	528
189	123	526
190	123	524
191	124	523
192	124	522
193	125	521
194	125	519
195	126	518
196	126	516
197	127	514
198	127	513
199	127	511
200	128	510
201	128	508
202	129	506
203	129	505
204	129	503
205	130	501
206	130	500
207	131	499
208	131	498
209	132	496
210	132	495
211	132	493
212	133	491
213	133	490
214	133	489
215	134	487
216	134	486
217	135	484
218	135	483
219	135	481
220	136	480
221	136	478
